X,   Y
0.9199972096	0.2500082586
0.0800025802	0.2645818592
0.8251024133	0.2903659405
0.2065289563	0.3172710543
0.7034965028	0.3419340809
0.3288377967	0.3486603427
0.4504437214	0.3632339655
0.5790788862	0.3632339655
0.1221780343	0.3822917406
0.8658720363	0.3935021992
0.7463749003	0.4439492849
0.2515161147	0.4439493071
0.3731220394	0.4630070822
0.6205514246	0.4719754535
0.4912133302	0.4843069668
0.1650564318	0.5044858188
0.08140842542	0.5493276753
0.7878474248	0.5504487078
0.2880681878	0.5605381338
0.4117828874	0.5874432477
0.6634298082	0.5885643024
0.5369034182	0.596411619
0.8585832546	0.6095948658
0.2100435763	0.6121062743
0.7386427168	0.6457376722
0.1285043586	0.655827076
0.3414904454	0.6580691855
0.472234385  	0.6771269606
0.6029783106	0.6816111573
0.2606541434	0.7096373037
0.6810029096	0.7298161558
0.4012390134	0.7410266143
0.5369034182	0.7499949856
